type,format,identifier,references
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/ITHRUQEQCF/XC717298-Gambecchio%20comune_0419_1320.mp3,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/XC716293-corlieu-22h01-17avril22.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/ffts/XC716293-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/WKUHMYUJSN/XC715546-04-13-2022_23h39_inconnu.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/WKUHMYUJSN/ffts/XC715546-large.png,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC715230-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/XC715230-SCORUS%2012042022%200452%20vbo%20nfc.mp3,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/XC714619-SS220411.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/ffts/XC714619-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/TYHTDXDCDQ/XC714376-CU_10.4.22.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/TYHTDXDCDQ/ffts/XC714376-large.png,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC721773-large.png,
